Ax,Ay,Az,Gx,Gy,Gz,Pitch,Roll,AccelMag,GyroMag
-5360,-1332,19292,1227,-269,-5259,-3.8059538319304265,15.527174483475951,20067.014924995696,5406.937303131968
-5532,-60,19608,-162,-1529,-1838,-0.16873627438747402,15.755337782485265,20373.519283619116,2396.315713757267
-5076,-488,19028,-2737,145,2388,-1.419490769543829,14.936664662214303,19699.45948497065,3635.208109586025
-5612,-672,17728,-2009,-471,3567,-2.069689493284463,17.565775497608396,18607.20591598857,4120.850761675312
-5220,-968,18308,-699,-84,739,-2.910792912960606,15.91397739817719,19062.221486489972,1020.6752666739799
-6144,-1044,17532,-3231,2589,4446,-3.2164859248455544,19.31275214208466,18606.71104736138,6075.29406695676
-4896,1176,18584,339,-1396,-6418,3.5016925745624743,14.75934445637949,19254.06055874968,6576.812373787167
-2796,56,17892,-1093,-5269,-4225,0.17717858597798758,8.881831394714961,18109.235654770193,6841.610556002146
-6128,1504,18736,866,3625,1269,4.362988251477571,18.111413465682585,19769.979666150393,3937.123569307928
-4208,788,19900,256,3445,166,2.218604518047042,11.939725334878988,20355.299260880445,3458.484783832365
-1820,656,20580,-1264,-932,-944,1.8186266695837328,5.053826050064366,20670.731385221956,1832.3362136900532
-2528,744,19740,-1252,1344,-1024,2.140985666299326,7.297851617466582,19915.117875624037,2102.95411267103
-3436,976,18836,-2758,-5154,-1791,2.9180981692180445,10.338035342698596,19171.686623768917,6113.75179411137
-3388,1388,19640,-1363,-4600,-37,3.9838443083455917,9.787486964504428,19978.355487877376,4797.826382852969
-4748,2160,18560,-1936,-8770,1272,6.432843845282118,14.349601572480022,19279.074251633556,9070.776152016982
-6764,1604,18032,-155,-2366,679,4.7609612523278155,20.561616435698642,19325.56689983505,2466.3783164794486
-4916,880,19208,-1646,-4894,-533,2.541329289584759,14.355842778983416,19846.629940622162,5190.822767153585
-4396,972,19576,-524,3324,-1798,2.773591366842425,12.656423303194956,20087.044979289512,3815.2792820447626
-4596,760,19808,-228,326,-2569,2.1404585681108137,13.063044256553415,20348.407308681435,2599.619395219231
-7108,1228,18656,-1109,194,-528,3.519831520331456,20.857012238021426,20001.949504985758,1243.5035182901574
-6568,336,18900,-781,1528,1414,0.9620594765145538,19.163015574777113,20011.534673782517,2223.5424439394
-5116,-576,19172,155,-430,-2019,-1.6627193013836348,14.941089109765437,19851.216990401368,2070.0932346152913
-5316,-348,18940,-682,-321,350,-1.0134687919256007,15.678146626080432,19674.972935178335,831.0625728547761
-6492,636,19428,416,904,230,1.778385893209181,18.477405858139484,20493.84649108117,1021.3579196344443
-5268,-348,19200,-354,-566,-1945,-1.001371692288047,15.342953788126305,19912.63237244137,2056.3795855823896
-5760,-184,18860,-631,104,746,-0.5345909618430903,16.983104817586113,19720.82797450452,982.5950335718169
-6096,-20,19392,236,538,55,-0.056372411551080394,17.450876122286772,20327.598972825097,590.0550821745373
-4700,72,19344,-128,205,-1636,0.20722968832379426,13.65649241224578,19906.921409399296,1653.7548185870842
-5948,460,18920,-757,553,480,1.328665724183669,17.45191301711723,19838.263633695366,1053.2131788009492
-5616,-188,18968,-226,-72,-1439,-0.5445012721689697,16.492841830645993,19782.81638190073,1458.417292821228
-4540,-200,19636,36,-7,-1950,-0.568560802242307,13.018482218913421,20155.001761349464,1950.3448413037115
-6264,92,18408,-573,484,1245,0.2710868074885871,18.792763247003432,19444.80969307748,1453.4820260326578
-5604,-288,18992,132,-98,-484,-0.833269702575007,16.4398335806851,19803.631586151063,511.1594663116394
-6368,408,18652,-228,1043,-428,1.1859162775714862,18.850474756780077,19713.32016683136,1150.2247606446315
-4980,464,19172,-139,-2081,-1583,1.3418856942562154,14.561002795137092,19813.66397211783,2618.352726429348
-5964,620,19052,-915,5,-423,1.7788299677322377,17.382103079204807,19973.292167291802,1008.0570420368085
-6320,84,18824,-1337,203,3304,0.24237844400423633,18.55904446933022,19856.798130615116,3570.041176233126
-5760,-824,19180,150,-122,-1434,-2.3561648736846603,16.715686488998482,20043.17779195704,1446.97615737095
-4956,228,19392,338,-870,16,0.6526448800061334,14.336175010965915,20016.582725330514,933.4880824091971
-5516,-208,19088,-890,153,750,-0.5997822816489157,16.11809710808372,19870.109813486186,1173.8862806933216
-5192,-620,19392,-627,-558,-2728,-1.7689691427651548,14.98877765289066,20084.594295130784,2854.203391491223
-6152,-188,18480,-976,348,1499,-0.5530223141041359,18.41262289360136,19478.0093438729,1822.2735798995716
-4796,-360,19272,-472,-72,-1352,-1.0384909874066597,13.974668231542847,19863.06119408587,1433.8312313518632
-5780,-228,18648,-300,265,-52,-0.6690925331330589,17.220969421107277,19524.55602568212,403.64464569717757
-5188,-964,19972,-1218,365,2738,-2.6747497952140744,14.561532102687897,20657.333419393704,3018.839677757002
-5168,-652,18844,-281,470,-558,-1.911122687397544,15.336386339485509,19550.694719114203,781.8088001551274
-4668,-444,19472,-164,646,58,-1.2702519462520412,13.481042283899912,20028.633103634405,669.0112106684013
-5584,584,18800,-100,-251,-786,1.7056528065013248,16.542539749914567,19620.451370954746,831.1419854633743
-5888,-588,19196,-2892,-390,-1123,-1.6774124081385056,17.052377509721595,20087.32695009468,3126.8023602396106
-5556,-2816,16576,-372,-1034,-4890,-9.150414559596816,18.530296606173597,17707.703634294314,5011.949720418193
-5660,-312,19316,246,1270,911,-0.8880512565543179,16.331709964338494,20130.59363257825,1582.1937302365977
-4728,-1132,19452,88,1132,-19,-3.2365217854216164,13.661385472822943,20050.329473602174,1135.574304041792
-5232,204,19432,-383,690,-122,0.5807952298460373,15.069334078400686,20125.060596182066,798.5443005870119
-5700,108,18916,-533,1451,-427,0.31321313983562543,16.769245830295343,19756.434901064513,1603.6891843496358
-5068,-1056,18988,-2014,-126,-571,-3.0757199676740994,14.94418746691069,19681.054443296478,2097.1678521281983
-5196,-1596,18580,-875,-207,1036,-4.7290176273089335,15.623943728347323,19358.771448622458,1371.7762208173751
-5780,-920,18856,-409,-212,-487,-2.6708215109780893,17.04206870205317,19743.442860858893,670.3685553484739
-5720,-1696,19636,2363,1247,-200,-4.74041910107543,16.24093070751298,20522.36126765144,2679.3241685171283
-3928,252,19896,437,714,35,0.7119213654549832,11.168089583812996,20281.605064688545,837.8484349809338
-4528,5868,24488,-4151,449,-1058,13.258928013200734,10.476059965675812,25585.11973784762,4307.17610506002
-6152,-340,18684,-1285,-290,-305,-0.9902322714646606,18.22494015422473,19673.702244366716,1352.1649307684324
-5056,396,19272,-347,-712,-367,1.138623364992777,14.70023767577647,19928.119228868538,872.9501703992044
-4016,484,19536,26,330,-570,1.3901426012576428,11.616420504654188,19950.38365545886,659.1479348370896
-5468,260,20400,-1076,627,-296,0.7053064864202907,15.004812326954593,21121.709779276865,1280.0472647523607
-6956,420,18204,1463,-7109,534,1.2346489171725732,20.91254769136771,19492.25364086975,7277.596169065717
-6140,944,18200,56,-67,213,2.813634568935978,18.64247296470604,19230.983750188134,230.20425712831639
-5976,1200,19316,-1710,481,-160,3.39647521164882,17.191064719001933,20254.886620270183,1783.5529148303956
-5936,1860,19236,27,-1682,-743,5.278828409128176,17.149601464588745,20216.809639505438,1838.9948341417385
-5044,1176,20048,-43,321,214,3.2558399853926328,14.122285213957708,20706.21201475538,388.18294655999506
-5192,3260,19756,-2119,-2002,2102,9.067584534359584,14.724717607620736,20685.35713977402,3593.9628545659734
-4084,2392,19412,-894,-287,-45,6.875701551016721,11.880922683996145,19980.652241606127,940.015957311364
-4820,2436,19004,-405,197,-795,7.082669445513164,14.231868853849212,19756.480253324477,913.7061891001943
-4476,2192,20044,-341,614,88,6.092151519068858,12.588116330175279,20654.33068390259,707.8283690274077
-2240,1036,20112,-2,-4665,-523,2.930698000273916,6.35519980795549,20262.858633470252,4694.226027792015
-1564,2480,20064,-742,2794,1014,7.02517750277562,4.457224782007084,20277.095255484695,3063.5267258504537
-4984,2508,19736,-507,-640,-316,7.023979419876277,14.17277876260511,20509.51037933378,875.502712731377
-1868,1624,19952,-1282,-587,-1106,4.633178424211334,5.348708306210187,20104.952225757712,1792.0181360689405
-2784,2340,20248,2287,2563,1549,6.531345540450829,7.828798790438881,20572.01399960636,3768.121415241287
-668,-232,20204,-766,-2186,-1507,-0.6575320814515401,1.8936667813168044,20216.37118772803,2763.403879276426
-1168,584,19468,-984,1177,1563,1.715158142636093,3.433395760976835,19511.74784584918,2190.1036505151988
-4300,2844,19660,-1089,-314,-449,8.043690294895855,12.337348988241079,20324.712445690344,1219.0643953458734
-1144,1412,19872,-246,1565,-321,4.057610912342735,3.294791957701193,19954.9207966356,1616.410220210204
-3692,1852,19568,-120,1367,718,5.313418152022151,10.68469901266868,19999.184783385546,1548.7456214627373
-3796,1036,19372,-405,-589,-1164,3.004193165967841,11.086797916497916,19767.581946206774,1365.9582716906107
-1592,1200,19836,-529,1738,534,3.4508807480049506,4.588615899714751,19935.93138029924,1893.5788866588052
-4772,2148,19148,-596,694,403,6.212158099395166,13.99399202812954,19850.234054035736,999.6304317096394
-2716,432,19568,-1786,-2946,-1074,1.2527003461492874,7.902055757436657,19760.311333579742,3608.6268856727206
-1456,772,19584,-140,2482,250,2.2512203807574203,4.251912764843045,19653.21795533749,2498.4843405552897
-5924,3536,19508,104,1560,55,9.839409360329949,16.891977322706413,20692.006572587397,1564.4299281207836
-3556,492,19980,-795,-1824,-1269,1.3887865095127856,10.09171680854446,20299.94088661344,2359.9495757324985
-1932,1032,19836,-1048,35,-183,2.9642188167272736,5.562985860013999,19956.56643814261,1064.433182496675
-3792,1404,19876,-750,-168,-386,3.9691903851862063,10.80125225942974,20283.14216288985,860.0697646121505
-1552,-180,20060,676,-235,-887,-0.5125741489581138,4.424040845863338,20120.75306741773,1139.7236507153827
-2376,1252,20160,-18,1213,1058,3.5293211057533305,6.72170911996022,20338.104139766812,1609.6760543662194
-4200,1872,19456,-965,-760,-793,5.372900419597926,12.18161022592868,19992.00640256,1462.0786572548004
-432,304,20428,-570,-571,-888,0.8523956700408113,1.2114787524774837,20434.828700040525,1199.7853974773989
-552,1244,19968,-216,1485,910,3.5635435061687786,1.5834944624642473,20014.32646880729,1754.9874643426945
-3204,1364,19740,-1273,-835,-1279,3.9018553965837652,9.219281491623489,20044.792640483964,1988.3649061477624
-412,-176,20072,-1046,-424,-974,-0.5022755723788949,1.1758941202654138,20076.999377397013,1490.8279578811232
-4056,2492,19548,172,938,1050,7.115000877223137,11.721930860345566,20119.281895733755,1418.4244780741765
-1000,12,19740,-1576,-1739,-1316,0.03478565039216094,2.900042670605583,19765.316693642933,2690.6789106097367
-1512,844,20448,-36,1453,1311,2.3571383787926923,4.228963439889996,20521.18865952945,1957.3517823835346
-3556,2152,19960,-619,232,-740,6.058933650142128,10.101620602559299,20388.178927996487,992.2625660579965
-1768,468,19860,-1251,259,-1434,1.344607001249109,5.087240749914452,19944.03289207075,1920.5306558344753
-3220,1532,19348,-489,340,1367,4.466134939346706,9.44887565124055,19673.85391833537,1491.1103245568383
-3988,1260,20016,-861,-1681,-1150,3.5327400829325417,11.268089847383058,20448.276210967026,2211.23992366274
-244,556,20736,-706,1277,-785,1.5358130135620915,0.6741669085347718,20744.887755782147,1656.9218448677657
-4280,3172,19648,-494,1002,1041,8.964098348487854,12.288984711151734,20357.403763741582,1526.9973804823635
-1424,452,20160,-331,-493,-1676,1.2812014694498952,4.040372223234397,20215.28332722547,1778.084924855953
-2304,1920,19880,-365,1500,1093,5.480032118458355,6.610822691708948,20104.95501114091,1891.5268964516472
-2676,968,19940,-877,-497,-1025,2.7546215988362843,7.643573574508773,20142.035646875418,1437.6240816013064
-92,220,20588,308,753,-491,0.6122239124933974,0.2560315052169858,20589.380952325886,950.2389173255324
-3928,2972,19532,296,1168,-11,8.484469103739281,11.370844607895966,20143.509922553218,1204.9734436907727
1016,2056,15708,1624,14187,347,7.44160492214046,-3.700759912419924,15874.528528431954,14283.863412956594
-5200,2520,19244,-944,-1791,575,7.204886985218552,15.121007639216726,20092.832951079847,2104.6239569101176
11984,-4552,13080,-17664,-32768,12538,-14.391448774951069,-42.496162020520295,18314.566879945593,39280.53161554716
-4048,3168,19400,-1293,-1867,-901,9.082235749723521,11.786214500524348,20069.442642983387,2443.2230761844075
-2724,2888,19720,-957,-479,181,8.25447129684676,7.86471787309258,20115.643663576862,1085.380578414779
-2516,2900,19400,-518,-1066,616,8.432288764958278,7.389485592663372,19776.254852726794,1335.7155385784804
-3668,4076,19648,-4054,-2724,99,11.52616833384735,10.574575439756462,20398.821142409186,4885.1707237311575
-5764,2192,18880,-454,860,510,6.336284242322281,16.977252744099605,19861.595102105974,1098.0965349184926
-1408,1472,19912,-326,-940,-69,4.217423047192981,4.044716938602923,20015.918465061754,997.3148951058537
-1880,-1412,20968,4711,1516,1315,-3.8371756612439123,5.123464653700913,21099.411555775674,5120.644685974608
14080,11500,-10904,-32768,-9942,-32768,32.852679502465925,-127.7553401421578,21198.906009509075,47395.43239595985
-11556,-10484,16344,22697,1647,8323,-27.643891963671987,35.262161845600744,22596.055584990936,24230.94606077113
-4360,2696,19532,-1340,-3273,-799,7.672375167397684,12.583461459318444,20193.49004010946,3625.8143912781857
-3160,1960,20000,-301,236,-575,5.528959639988293,8.978510950863493,20342.743177850916,690.5953952930761
-2832,684,19340,-1983,4773,1982,2.0041865374293697,8.330743716185241,19558.21259726972,5535.53448187255
-6852,80,17872,-404,97,-178,0.23947328959143055,20.97647486874122,19140.65537017999,452.0055309396114
-6532,80,18592,-556,321,-55,0.23260018107553257,19.35810451270191,19706.239823974538,644.3616996687497
-7012,-32,18604,-393,128,-190,-0.09221922864331822,20.651837165215085,19881.59913085464,454.89888986455003
-6872,24,18452,-408,106,-204,0.06983696754380425,20.426626564472166,19690.13113211794,468.31186190400945
-6812,80,18520,-428,157,-159,0.23228210611889327,20.194459534988862,19733.224369068528,482.8188065931152
-6592,156,18484,-356,-51,-171,0.45545361281906765,19.627899789606438,19624.909069853038,398.2185329690219
-7244,-60,18688,-398,117,-232,-0.17151912203732655,21.187746781047625,20042.965848396787,475.3072690376195
